Geneid,p1k_01056,p1k_01057,p1k_01058,p1k_01059,p1k_01060,p1k_01061,p1k_01062,p1k_01063,p1k_01064,p1k_01065,p1k_01066,p1k_01067,p1k_01068,p1k_01069,p1k_01070,p1k_01071,p1k_01072,p1k_01073,p1k_01074,p1k_01075,p1k_01076,p1k_01077,p1k_01078,p1k_01079,p1k_01080,p1k_01081,p1k_01082,p1k_01083,p1k_01084,p1k_01085,p1k_01086,p1k_01087,p1k_01088,p1k_01089,p1k_01090,p1k_01091
b0011,2.4047985586062706,1.653279641400897,2.5074348520534735,2.715357661523992,4.110444593139713,3.811001585240617,5.269072237032605,4.495172531877086,4.687293219586889,3.533699002972523,3.019369077605621,3.1511896380309476,2.3521817564101406,2.3831822965325906,2.453813024035539,2.703844637483759,2.7687944305571968,2.607351678516955,2.6105114469933763,3.3451897823752765,2.8979017916324663,3.380888011927627,3.9403546338710886,2.8802269626807977,2.6597031281827612,2.656595834356133,2.9220860432433295,2.0825986181385825,2.7807334057940296,2.8925587697799897,3.052230979564632,3.3572039793066755,3.203825519725556,2.9705584964533465,3.2339871189817395,3.590024992485412
b0012,0.6096638462521262,0.6091245084043417,0.0,0.645336123283953,0.48383226019920234,0.3829231497066596,1.0023886421915624,0.7685972382243164,1.3073947180719985,2.0387913006339753,1.1112396194522776,0.0,0.0,0.3312821031698099,0.0,0.27885530333491576,1.5146530970376781,1.3805168916564658,1.170264003515051,1.2731874616400791,0.9282354570958987,0.0,3.4315535532855606,0.7816089715286787,0.4659109019319697,0.0,0.26468781342195224,0.0,1.4464456483878954,0.6224198800543003,0.0,1.8054429533761684,1.2045104129398663,0.7594663509447601,0.0,0.8568847585402753
b0013,1.5326925114614696,1.531668329663549,1.453775523604999,1.5996858728105787,0.9681190309586107,0.0,0.48679224979190694,1.4268927204399113,0.6690057158863182,1.3174924560564996,0.7622953506504548,0.8255136371553138,1.7057916682235168,2.1399044945033365,1.2468066666788,1.016862106428854,0.5318203721292071,1.3805168916564658,1.0003051054498566,1.8280260662419503,1.3924849200709495,2.0749524736855007,1.8917820226619686,2.1542674095311307,1.904796919529202,1.3988017461694904,1.8711197206501,2.04873332967575,1.472307742712754,1.7073974884612966,2.3395007858819468,2.1134180692171807,1.9028994011404117,2.245333599579308,1.8544039336308473,0.9806453589411597
b0014,9.520099207058596,9.824923666517503,10.193344304799956,10.3031415983521,10.874737195286972,11.742938436071611,12.976794356853487,11.770058213351021,11.089540644191827,10.854384108674093,9.673949778764632,10.362681103772218,9.884832728423524,9.852344908494457,11.882852869988415,11.537908641368281,11.041999883582605,11.01862547237508,11.671365933287452,11.668147726278722,12.041670570839809,11.786229641661713,11.74870121945178,11.894203465396085,6.931221812357839,9.857386099884287,6.049757989783699,6.952633629718437,6.2711852085008335,5.749282970141451,6.249376719913048,6.332179796115661,6.900722563482272,6.455720721558726,8.838254377555893,7.732000229495217
b0015,7.11033153630106,7.223268773063438,7.578267962016587,7.649166933390398,7.7935849010091625,8.539549137719924,9.381758009725198,8.595993400598488,7.262407406168447,7.894821849980311,7.509691785446258,7.838196285950419,7.321274603606138,7.244418197702255,9.287108879176941,8.888685711673222,8.575060048420408,8.465904779219361,8.998069236493713,8.888571621005733,8.986823179299032,8.644162198644823,8.330905671456431,8.559714067070221,6.736754646467838,7.857580348263292,6.790821238220672,7.376357655679851,6.99751229977953,6.613176289847499,7.101617204605259,7.304047869894232,7.306028951849768,7.353678850447653,7.915510183897969,7.2701588088736315
b0016,5.1661232419060426,5.164601424669263,5.248811979607023,5.323433147190673,4.294009841805335,4.762824192047457,5.316337409334968,4.923206767148887,4.433589259702817,5.160028146945128,5.17842813502828,4.71632763407992,5.139229742221652,5.049793548444764,5.770542419731387,5.50503829122704,5.253385008145104,5.2741047381204345,5.5617075836072525,5.45438968721586,5.611906312611474,5.3280565675520855,5.68115030453611,5.059167955578138,3.5731830947679155,4.975501949584585,4.371339850693909,4.351067375057739,4.606152765194129,4.377596432172827,4.9678767730141375,5.08965960005423,4.9432043296196,5.381706952052759,5.469640500998073,4.586278899266686
b0018,4.3121506679891075,3.649595637343989,4.457072203873739,3.941150200367315,6.528124061908435,6.686604590354097,6.871569851567521,6.671836052272524,6.813853201635441,6.518201016417516,5.701010352238929,5.416061335003723,3.816368497673776,4.330303216186898,4.975200416718034,4.736655345974363,4.597588245578133,4.540235545470181,4.2727084357482,5.078621147406032,4.584147949419881,4.999343622210313,5.735583986133812,5.468129842592378,5.692800551025867,3.989297471278761,5.807172604990043,5.401053841778163,5.677997193710653,6.18559053567027,6.146480509777652,5.691856546512391,5.790394432446316,5.794897312118669,5.708538776539018,5.976057565149009
b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0019,6.424046443371223,6.65793696066529,7.310053401141469,7.313814848681941,7.1178361434488835,8.041269432315712,7.40891265875969,8.247155470944945,6.947656156913195,7.676207745832654,7.543452995435147,7.932637439763864,6.853195674247648,6.883458360651649,7.507540626490068,7.378824920595783,6.9842790175348535,6.963140596305581,6.66055874671161,7.342009631433317,7.015869844604648,7.551539102400349,8.328690117699095,7.156227875526847,7.831435860212432,6.621482072809969,8.245532851502285,7.848277781119809,7.561836122494797,8.120702378995233,8.058327059111358,7.8937401247304475,8.265346826851657,8.041285225023255,7.98693251546262,8.810299161741984
b0020,6.105317525494786,6.17020404839084,6.4606961627691994,6.398588558861031,4.792724874287168,5.578909257411837,3.94035873476741,5.881082150991153,4.815797206296602,5.346687372379147,5.527488736136594,5.16440502984022,6.244665823303381,6.367325936870349,6.268933036566571,6.2786609818934895,5.872488368989648,5.830716071248937,5.528824616351837,6.085074772599648,5.879737644773287,6.223727228459414,6.130826625165021,5.4533281781844885,7.090248187192331,5.979325654351909,7.210692889958377,6.5419785079954975,6.320735488903561,6.9840134411088055,6.959445527585976,6.883263742167989,6.990289755457474,6.8767405547606115,6.237500875039779,6.772695437310427
b0021,2.875586823094479,1.9207287553715366,2.37651544662563,2.4199855868364133,1.546519146298363,1.6096952050637736,0.40326097971836594,0.0,1.9428076147707338,2.377724936125942,2.7212328553605083,1.5167571256968069,2.321648850417203,1.9022789134627338,3.0786342265994318,2.9983686926196977,2.8967539443977115,3.038484237382401,3.1105566485648084,2.2501875930145614,2.298114403224685,1.196015356601408,3.046391201933289,0.7598944487236647,1.4082165405692935,1.2112026828846887,1.5567190398211697,2.2916965940968255,1.5367565253479878,0.8321069262641229,2.4914237219593782,2.1621089594567144,2.1568801554961743,2.5050866010669615,3.7669098486382198,2.0456590794012905
