"","GlcM9_N_12h_Rep1","GlcM9_N_12h_Rep2","GlcM9_12h_Rep1","GlcM9_12h_Rep2","GlcM9_S_12h_Rep1","GlcM9_S_12h_Rep2","GlcM9_N_24h_Rep1","GlcM9_N_24h_Rep2","GlcM9_24h_Rep1","GlcM9_24h_Rep2","GlcM9_S_24h_Rep1","GlcM9_S_24h_Rep2","GlcM9_N_3h_Rep1","GlcM9_N_3h_Rep2","GlcM9_3h_Rep1","GlcM9_3h_Rep2","GlcM9_S_3h_Rep1","GlcM9_S_3h_Rep2","GlcM9_N_4h_Rep1","GlcM9_N_4h_Rep2","GlcM9_4h_Rep1","GlcM9_4h_Rep2","GlcM9_S_4h_Rep1","GlcM9_S_4h_Rep2","GlcM9_N_5h_Rep1","GlcM9_N_5h_Rep2","GlcM9_5h_Rep1","GlcM9_5h_Rep2","GlcM9_S_5h_Rep1","GlcM9_S_5h_Rep2","GlcM9_N_8h_Rep1","GlcM9_N_8h_Rep2","GlcM9_8h_Rep1","GlcM9_8h_Rep2","GlcM9_S_8h_Rep1","GlcM9_S_8h_Rep2"
"b0331",22.2613618437993,27.9798583527518,14.3658119780795,46.7502840450023,5.49689317269985,1.32467798220936,166.145078976146,19.7374399997458,54.2333633239662,58.1026934051239,2.71490578742933,7.58649178033056,0.373502685972141,0.255016194054096,0,0.799348822702711,0.606620723823677,0.182565038897589,23.4826731835595,15.0668608116015,0,1.28863047290621,2.0236017881651,0.240476925711504,6.0733724026941,6.69490275369515,0,0.626700844645958,0.241101927656668,1.64538179079289,16.4623796941119,30.329115680473,4.08411776836693,16.143852962478,3.59468614171328,0.790179296346308
"b0333",5.45059817256376,11.4289439853738,10.2591035582143,19.5864127689822,3.25672274127886,3.02718896703009,36.2328177657547,7.75991690797422,46.8484739393378,19.0362441869813,2.06805803790518,1.73368505586376,0.569025441310248,0.777026285555095,1.4299178370805,0.60889765145245,1.8483541781408,0.834404857540476,5.89705740741972,5.04990737091148,0.769840739727044,0.785283266836782,2.77463281902467,1.46545118862279,2.17710280130733,3.13833186956373,1.21463905121175,1.19346104488513,2.38754735534306,1.25335658188493,7.90570745790082,9.83104863527516,2.87173333722654,11.4954447003454,2.31695857731661,2.40765134873068
"b0334",2.92849298466261,5.72563286319215,6.89000359409781,15.4263067346017,2.06222817964866,0.813222821838091,25.4992103315076,3.12693141749408,38.7857762439779,13.8075001711353,0.833343414448371,1.39720936023156,0.917176588815279,0,0.329256471776868,0.654296076945004,0.124135280029988,0.448308368056847,4.11887611439093,2.34322695145695,0.413619410975163,0.316437269602847,0.621146866842144,0.442887992569844,1.7545680525333,0.948465232086835,0.244725108219022,0.57709960780199,0.592052083880929,0.50505180914909,3.73493410457393,6.1403457761377,1.73578788948328,6.03262921677563,0.33950553638713,0.323395243102045
"b0335",3.75626792612533,6.51385673147151,13.3623737076297,15.7373638902549,3.17417112820921,2.34695331064105,21.839754734537,7.82105502450288,33.5475948518706,24.2041610079756,4.81004229817327,2.50900713328305,1.76464192736838,2.89162430207103,3.92762162559467,2.3918368374233,2.29282070190983,2.76013584231609,5.36440653001224,3.60668300896923,3.81984536534055,3.28764579549504,3.15501812692945,2.38591831166731,3.20698889210056,2.5547775094161,5.27351499088067,3.55307512769615,1.5947462248816,2.07299513755262,3.71980631813342,7.01217248129941,4.45285982242092,8.95377106550109,2.48218467771173,2.86216780435043
"b0336",15.4659342366715,22.3738535640113,7.939076306284,6.20062252698384,4.10438565031796,6.55930953284316,15.6386589775838,13.5113937835614,9.09645987029186,1.32581930667853,6.48154153295481,1.07329907502853,221.669253092243,85.1450738187406,63.5476740363796,168.312477086117,2.71768649943528,185.577000094437,3.65078203758313,5.25790826567375,180.15372209955,94.6183822634393,1.57459006704806,5.10322167489281,6.82330087915682,4.73580749904526,1.97390886256596,0.443312572104833,5.96923249916032,2.90975526841248,8.86038502999986,13.2376122365309,0.22223101624982,0.993022573011782,5.08558293165463,5.96216701953714
"b0337",54.6374747554816,41.9415441712912,23.6840254284524,16.2261686257362,18.6547395799502,25.7472041117984,26.5077205832282,46.8486111925685,24.4510255955201,19.5158538411085,21.2016183477458,5.79289162245941,251.493746311701,138.962987860357,108.15408898005,212.148629021761,35.3718891787241,246.616526536716,53.2015539443393,43.9272275055126,229.63860002812,144.375550838708,29.0775041691796,34.3876389520157,28.7674062371968,25.7392058936437,10.7920916011263,7.39555767175977,25.104620949776,20.9396707279634,48.6914357415152,39.8670061369549,6.76049233947216,9.98837744110547,23.0335351457042,30.1682461313228
"b0338",11.4130511371373,0,3.55557832531822,16.1991550264703,26.0005961933747,21.3109959513037,5.96923084574711,1.89099528979699,6.64226370492962,8.04075319806925,31.5814956249133,9.76392438232111,7.76520789526099,13.1283808490624,10.0885498516582,15.0359199191627,7.00654790890684,10.3022606411865,7.15326371714679,11.1375483723436,11.3394151725833,9.69576437505637,13.2223623166322,12.1418160981884,10.2569692049939,6.88295218645923,0.789313168129277,1.86132237544127,15.2763893962973,14.1175340333217,5.66884821199548,4.1525542001885,0.933074289093307,1.73723843585996,19.9839138396484,17.7318221972555
"b0339",1.6093420222068,0.547217295942788,0,4.73160968624909,4.94526344936789,5.36284157396708,0.904064043035493,0.859196548717645,3.77249092167271,4.21547691810799,2.28980329272595,3.07132405509298,1.00806171221528,3.09723147634839,1.447532990898,2.15739530968478,1.09148902803978,3.44912587859772,0.348232689061447,1.35548561209768,4.54605903288134,3.1301438537038,1.63847454920721,2.59613213597169,1.44632415676866,1.73741803104157,0.537950956493554,0,2.92823944815088,1.11019709333378,0.482945559664138,0.870813763381786,1.271860717811,0.947202318129997,1.49259166224054,3.19897094859716
"b0340",3.75626792612533,11.4950412908321,10.180856158194,6.62625848010731,12.1195624895261,7.51025059405135,6.33036369117014,6.01619617269452,9.50955444619956,4.72276312350743,8.337406650167,5.73487344750412,10.5878515642103,7.71099813885607,11.6561674049906,8.56025815498864,5.73205175477457,5.8652886649217,3.90138656728163,3.41685758744454,11.4595360960216,13.6376418183498,8.03095523218405,6.36244883111283,2.70062222492679,6.32611573760177,8.28695212852677,5.32961269154423,6.37898489952641,10.8832244721513,4.05797052887282,3.04877064404322,2.96857321494728,5.96918071033406,10.9738691014624,3.9821465104006
"b0341",0.920220654566345,1.56449235561498,1.73203723567891,6.31290600296267,3.53462277252614,2.55539091723777,12.4066366597881,2.45643995978531,6.9027446345347,5.30289492587599,2.61861587628349,1.75618096921839,2.88204494712068,3.54198962952645,3.5177180403808,2.87839333849811,0.936169006316124,2.11307977547556,1.59295368491084,0.775065734945127,3.8991501134099,5.56831050022587,2.34219653336065,2.41225815791574,1.10267620256526,1.19214531334098,1.23039993855446,1.9343154097723,1.86040587776598,1.48122316922012,2.76147936797574,2.48965353631211,1.4544981565278,1.62482889001019,1.70692575906747,2.6421335410703
